                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74666,                0.62452,                 1.0247,                0.72837,                0.52449,                0.54374,                0.31772,                 1.3639,                 1.3994,                 1.5399,             0.00076051,             0.00076051,             0.00076051
                     36,                0.72284,                0.61927,                  1.017,                0.79761,                0.51445,                0.53278,                0.30807,                 1.3775,                 1.2441,                 1.5607,             0.00075602,             0.00075602,             0.00075602
                     37,                0.70652,                0.60297,                  1.005,                0.84564,                0.48291,                0.58621,                0.35271,                 1.3501,                 1.2803,                 1.5362,             0.00075152,             0.00075152,             0.00075152
                     38,                0.71052,                0.59687,                 1.0146,                0.75707,                0.54769,                0.53955,                0.32894,                  1.307,                 1.3404,                 1.5206,             0.00074702,             0.00074702,             0.00074702
                     39,                0.71478,                0.59885,                 1.0148,                0.72657,                0.55253,                0.57242,                0.34016,                 1.3359,                 1.1429,                 1.5326,             0.00074252,             0.00074252,             0.00074252
                     40,                0.70863,                 0.5946,                 1.0137,                0.74599,                0.51944,                0.59464,                0.35909,                 1.3359,                 1.1522,                 1.5107,             0.00073802,             0.00073802,             0.00073802
                     41,                0.71638,                0.60059,                 1.0121,                0.84064,                0.57078,                0.60451,                0.36049,                 1.3708,                 1.1841,                 1.5888,             0.00073352,             0.00073352,             0.00073352
                     42,                 0.6973,                0.58181,                 1.0024,                 0.6855,                0.60837,                0.60885,                0.37887,                 1.2995,                 1.0717,                 1.4714,             0.00072902,             0.00072902,             0.00072902
                     43,                0.68369,                0.56387,                0.99833,                0.72906,                0.53517,                0.60234,                0.38255,                 1.2834,                 1.0825,                 1.4939,             0.00072452,             0.00072452,             0.00072452
                     44,                0.68983,                0.56408,                 1.0024,                0.56529,                0.52613,                0.57376,                0.36297,                 1.2841,                 1.2203,                 1.5109,             0.00072002,             0.00072002,             0.00072002
                     45,                0.66938,                0.54948,                0.98516,                0.65152,                0.56797,                0.54835,                0.34573,                 1.3092,                 1.2218,                 1.5519,             0.00071552,             0.00071552,             0.00071552
                     46,                0.67208,                0.55227,                0.98478,                 0.6469,                0.59054,                0.57495,                  0.359,                 1.3272,                 1.1852,                 1.5529,             0.00071102,             0.00071102,             0.00071102
                     47,                0.68602,                0.54665,                0.99366,                0.68218,                0.52007,                0.57805,                 0.3547,                 1.3543,                 1.1711,                 1.5587,             0.00070652,             0.00070652,             0.00070652
                     48,                 0.6839,                0.56271,                0.99766,                0.72975,                 0.4425,                0.54531,                0.33432,                  1.369,                 1.2801,                 1.5686,             0.00070202,             0.00070202,             0.00070202
                     49,                0.66192,                0.53646,                0.98939,                0.66466,                0.57927,                 0.5579,                0.34108,                 1.3155,                 1.1664,                 1.5222,             0.00069752,             0.00069752,             0.00069752
                     50,                0.65923,                0.53862,                0.98647,                0.69958,                0.58049,                0.56782,                0.36189,                 1.2611,                 1.1704,                 1.4532,             0.00069302,             0.00069302,             0.00069302
                     51,                0.64712,                0.53012,                0.98104,                0.74981,                0.56642,                0.59539,                 0.3692,                 1.2763,                   1.09,                 1.4738,             0.00068852,             0.00068852,             0.00068852
                     52,                0.61978,                0.49776,                0.96571,                0.69935,                0.58666,                0.59438,                0.38537,                 1.2765,                 1.1237,                 1.5082,             0.00068402,             0.00068402,             0.00068402
                     53,                0.63013,                 0.5132,                0.97056,                0.69712,                0.54473,                0.55157,                0.34261,                 1.3326,                 1.2443,                 1.5409,             0.00067952,             0.00067952,             0.00067952
                     54,                0.64126,                0.52233,                0.97991,                0.80917,                0.47673,                0.53124,                0.33978,                 1.3024,                 1.3211,                 1.5045,             0.00067502,             0.00067502,             0.00067502
                     55,                0.64018,                0.50904,                0.97351,                0.83792,                0.49034,                0.53929,                0.32472,                 1.3824,                 1.2936,                 1.5641,             0.00067052,             0.00067052,             0.00067052
                     56,                0.64009,                0.50923,                0.98075,                0.89014,                0.50557,                 0.6123,                0.35132,                 1.3332,                  1.107,                 1.4997,             0.00066602,             0.00066602,             0.00066602
                     57,                0.63252,                 0.4907,                0.97469,                0.81852,                0.54777,                 0.6129,                0.36004,                 1.3619,                  1.078,                 1.5369,             0.00066152,             0.00066152,             0.00066152
                     58,                0.62378,                0.48828,                0.96703,                0.64708,                0.58476,                0.56214,                0.33427,                 1.4008,                 1.2069,                 1.5938,             0.00065703,             0.00065703,             0.00065703
                     59,                0.64599,                0.49826,                0.97581,                0.73214,                0.49636,                0.56538,                0.34201,                 1.3411,                 1.1096,                 1.5667,             0.00065253,             0.00065253,             0.00065253
                     60,                0.61563,                0.47604,                0.95853,                0.88857,                0.49871,                 0.5507,                0.33448,                 1.3535,                 1.1052,                 1.5528,             0.00064803,             0.00064803,             0.00064803
                     61,                0.62456,                0.49156,                0.97114,                0.70478,                0.46752,                 0.5221,                0.32092,                 1.3312,                 1.2465,                  1.498,             0.00064353,             0.00064353,             0.00064353
                     62,                0.61815,                0.48342,                0.97139,                0.84095,                0.46139,                0.52055,                0.31916,                 1.3522,                 1.2515,                 1.5161,             0.00063903,             0.00063903,             0.00063903
                     63,                0.60966,                0.47952,                0.95724,                0.61828,                0.51554,                0.54892,                0.34545,                 1.2622,                 1.2425,                 1.4756,             0.00063453,             0.00063453,             0.00063453
                     64,                0.60503,                0.47001,                0.95959,                0.78545,                0.53526,                0.59387,                0.37352,                 1.2781,                 1.2434,                 1.5011,             0.00063003,             0.00063003,             0.00063003
                     65,                0.61542,                0.47949,                0.96474,                 0.7227,                0.50875,                0.55135,                0.34444,                 1.3025,                 1.2954,                 1.5101,             0.00062553,             0.00062553,             0.00062553
                     66,                0.60331,                 0.4636,                0.95845,                0.77015,                0.58489,                0.59282,                 0.3742,                 1.2928,                 1.1971,                  1.529,             0.00062103,             0.00062103,             0.00062103
